date,product,quantity,revenue,cost
2024-01-05,Wireless Pro X,120,5040,2800
2024-01-12,Office Chair Basic,30,2100,1800
2024-01-18,USB-C Hub,200,3000,1400
2024-01-25,Laptop Stand,85,2550,1100
2024-02-03,Wireless Pro X,140,5880,3200
2024-02-10,Office Chair Basic,18,1260,1080
2024-02-15,USB-C Hub,230,3450,1610
2024-02-22,Laptop Stand,95,2850,1235
2024-02-28,Bluetooth Speaker,60,2400,1080
2024-03-04,Wireless Pro X,160,6720,3680
2024-03-09,Office Chair Basic,10,700,600
2024-03-14,USB-C Hub,210,3150,1470
2024-03-20,Laptop Stand,110,3300,1430
2024-03-27,Bluetooth Speaker,80,3200,1440
2024-04-02,Wireless Pro X,180,7560,4140
2024-04-10,Office Chair Basic,25,1750,1500
2024-04-16,USB-C Hub,195,2925,1365
2024-04-23,Laptop Stand,130,3900,1690
2024-04-29,Bluetooth Speaker,100,4000,1800
2024-05-05,Wireless Pro X,210,8820,4830
2024-05-12,Office Chair Basic,20,1400,1200
2024-05-18,USB-C Hub,240,3600,1680
2024-05-25,Laptop Stand,120,3600,1560
2024-05-30,Bluetooth Speaker,115,4600,2070
2024-06-04,Wireless Pro X,240,10080,5520
2024-06-11,Office Chair Basic,15,1050,900
2024-06-17,USB-C Hub,260,3900,1820
2024-06-24,Laptop Stand,140,4200,1820
2024-06-29,Bluetooth Speaker,130,5200,2340
